"GDP per capita, current prices
 (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Dominican Republic,1534.317,1677.447,1545.099,1562.13,2397.598,1022.611,1212.354,1245.272,1113.835,1230.744,1123.244,1365.232,1573.686,1741.669,1916.439,2141.061,2309.916,2495.032,2658.543,2674.828,2894.303,3007.381,3158.393,2460.554,2540.849,4008.356,4188.715,4803.473,5194.799,5151.172,5688.751,6063.35,6274.865,6413.934,6805.662,7139.507,7521.268,7874.941,8340.961,8595.18,7553.509,8962.314,10711.156,11248.789,11825.004,12587.301,13405.066,14248.56,15145.686
Ecuador,2097.141,2087.382,2026.375,1732.499,1794.733,2044.313,1461.92,1332.147,1234.671,1182.529,1173.126,1286.617,1375.712,1572.842,1858.323,1980.373,2037.13,2253.233,2257.861,1598.768,1461.838,1909.424,2180.386,2434.977,2700.118,3025.012,3351.476,3588.311,4267.473,4241.938,4633.247,5192.875,5664.886,6030.502,6347,6099.351,6046.302,6216.606,6318.477,6260.603,5670.33,5978.915,6389.424,6500.047,6630.077,6769.741,6924.376,7127.866,7335.584
Egypt,580.042,617.659,711.351,846.388,925.97,1049.33,1132.456,1585.217,1858.029,2266.442,1870.847,923.843,825.448,897.202,968.914,1098.086,1209.49,1327.405,1454.957,1518.197,1636.752,1566.199,1355.278,1252.404,1195.597,1331.362,1563.739,1862.164,2271.232,2578.884,2922.796,3077.343,3569.482,3583.854,3705.465,3933.927,3862.011,2592.707,2710.158,3240.513,3802.438,4145.939,4587.172,3770.133,3319.793,3719.57,4111.713,4568.28,5066.413
El Salvador,806.915,703.457,689.204,656.058,476.822,459.963,458.437,460.592,530.169,596.506,891.759,959.119,1047.044,1186.338,1348.916,1552.129,1653.641,1749.514,1858.366,1904.858,1977.835,2051.156,2106.732,2197.501,2273.938,2434.33,2651.445,2814.604,2964.17,2889.68,3017.326,3305.002,3471.047,3555.185,3638.533,3761.492,3870.318,3986.018,4145.89,4280.3,3961.746,4664.288,5127.315,5557.577,5825.327,6060.758,6307.052,6568.34,6832.223
Equatorial Guinea,123.403,109.806,121.292,126.408,130.117,205.657,241.443,284.263,296.908,253.241,312.102,299.071,351.662,343.493,245.881,333.846,527.121,965.017,777.254,1251.452,1885.985,2616.487,3107.854,5424.13,8214.073,10810.445,12743.347,15782.688,22834.435,16596.742,17153.165,21479.995,21556.417,20252.748,19271.286,11217.985,9202.539,9624.532,9968.089,8355.342,7035.452,8447.959,7853.892,6502.187,6500.433,6325.008,6191.038,6132.928,6130.079
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,268.192,167.084,195.44,219.091,263.808,270.574,283.919,274.584,238.508,245.162,227.498,258.933,315.55,300.697,321.219,340.334,301.238,415.601,501.424,642.502,693.804,596.754,786.54,603.193,655.424,557.857,580.845,566.731,no data,no data,no data,no data,no data,no data,no data,no data,no data
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1194.189,1711.271,2721.005,3379.95,3686.89,4096.127,4151.432,4084.938,4516.219,5358.418,7216.265,8923.191,10426.689,12657.064,16764.936,18273.297,14756.39,14696.814,17484.728,17414.24,19056.283,20253.974,17403.806,18290.293,20430.567,23176.358,23584.26,23546.32,27716.897,28136.261,30998.324,33017.707,34976.48,37001.997,38852.932,40741.327
Eswatini,1329.789,1359.195,1174.424,1167.158,963.592,736.012,909.797,1149.956,1320.95,1305.673,1558.18,1574.778,1703.465,1747.48,1851.22,2160.27,2005.245,2105.168,1914.241,1861.496,1818.67,1599.207,1473.717,2235.678,2797.022,3174.588,3262.223,3402.163,3214.488,3479.71,4263.91,4603.196,4628.132,4325.841,4133.645,3766.458,3513.8,4031.056,4225.743,4031.719,3535.09,4164.801,4201.902,3995.029,4198.353,4365.801,4504.098,4604.828,4706.205
Ethiopia,227.616,228.061,233.306,251.399,229.991,260.757,262.316,271.537,272.448,277.391,284.636,304.279,310.307,186.665,160.749,151.063,163.498,155.766,137.366,128.578,136.056,131.565,123.874,132.704,152.16,181.49,218.637,266.894,350.57,373.199,341.103,377.694,510.537,548.869,622.592,707.975,790.789,822.704,839.861,948.851,969.014,974.185,1156.478,1473.36,1787.176,2047.666,2244.608,2415.007,2602.748
Fiji,2056.073,2062.163,1941.771,1781.084,1828.856,1744.388,1954.085,1776.896,1672.492,1747.117,1959.194,2012.454,2208.958,2339.817,2590.933,2775.116,2975.914,2905.473,2282.246,2656.26,2286.992,2238.548,2467.527,3079.607,3601.622,3943.27,4041.487,4405.164,4535.432,3673.958,4004.674,4797.051,5017.72,5268.164,5611.185,5385.516,5620.575,6049.889,6272.733,6084.97,4926.673,4758.647,5474.303,6024.783,6490.3,6856.479,7210.779,7572.416,7943.205
Finland,11257.795,10990.447,11036.936,10545.058,10889.934,11488.754,14998.341,18632.076,22122.56,24040.639,28489.569,25646.579,22496.237,17661.586,20429.387,26347.514,25833.03,24759.979,26074.066,26241.797,24379.783,25001.18,27008.262,32961.92,37816.081,39147.216,41308.623,48590.198,53897.91,47541.746,46647.002,51263.574,47850.555,50006.019,50434.791,42867.09,43865.756,46437.211,50032.02,48667.723,49168.162,53664.908,51029.52,54507.139,56157.015,58085.556,60209.948,62203.895,64324.699
France,13069.505,11456.04,10822.037,10292.761,9697.432,10108.561,13947.316,16793.955,18240.997,18236.767,22490.289,22406.387,24590.746,23082.715,24262.184,27741.294,27720.861,25028.466,25818.37,25550.782,23212.45,23245.258,25137.402,30682.636,35016.219,36057.117,37795.916,43060.031,47155.211,43190.972,42178.577,45419.973,42372.071,44144.638,44616.455,37937.861,38348.507,40134.128,43060.59,41924.837,40529.093,45201.234,42349.887,46315.204,48222.644,50101.179,51799.719,53133.98,54445.159
Gabon,6093.615,5376.616,4930.527,4619.015,4346.388,4478.468,5735.355,4245.955,4581.144,4899.234,6815.634,5993.32,6015.511,5677.618,4293.942,4956.842,5552.917,5068.093,4161.617,4222.734,4477.321,4065.933,4210.284,5015.596,5837.617,6942.698,7271.093,8652.145,10418.276,7856.853,8933.306,10893.464,9903.41,9760.747,9746.786,7453.114,7082.218,7370.349,8198.56,8086.528,7276.301,9476.107,9770.921,8831.823,8969.103,9116.054,9338.729,9488.858,9737.749
"Gambia, The",1007.791,907.551,827.984,800.7,552.842,645.904,484.263,623.605,695.347,701.786,790.827,801.579,830.589,840.415,804.334,815.289,826.192,818.814,815.332,811.257,766.199,737.063,631.566,581.319,642.755,665.721,662.362,780.379,924.514,833.282,860.639,762.761,742.78,700.515,607.429,649.511,683.998,676.656,729.035,768.921,747.886,820.584,841.947,903.293,985.409,1034.863,1069.289,1102.232,1135.385
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,172.501,413.486,688.363,818.054,869.519,690.373,763.707,820.006,875.188,1034.533,1338.086,1682.527,2052.257,2700.417,3419.915,2890.71,3221.628,4003.46,4409.627,4622.549,4742.498,4017.622,4060.893,4358.594,4718.794,4693.66,4263.133,4995.154,6670.727,8164.861,8573.084,9330.625,10128.285,10985.871,11813.614
Germany,11109.741,9329.591,9014.978,9025.206,8537.765,8678.853,12387.01,15411.529,16514.654,16232.121,20249.138,23453.063,26538.126,25602.881,27233.717,31829.61,30664.393,27170.747,27528.158,26984.243,23924.876,23869.773,25460.334,30668.849,34534.814,35020.197,36894.468,42299.862,46367.716,42338.844,42379.71,46697.376,43883.393,46299.227,48035.95,41107.096,42124.196,44636.833,47961.181,46810.283,46711.984,51460.987,48756.309,52823.575,56036.84,59134.893,61807.178,63592.903,65212.393
Ghana,3489.497,5537.473,6271.521,4114.248,1391.717,1213.391,1094.395,895.18,930.23,924.067,1045.595,1142.797,1102.843,881.079,793.796,918.741,950.015,945.584,1002.604,1012.277,606.501,630.698,714.42,860.469,973.287,1151.305,1320.283,1520.642,1688.077,1477.649,1757.045,2131.746,2197.908,2405.768,2003.714,1784.248,1982.239,2086.598,2275.772,2265.715,2274.572,2535.468,2251.822,2328.97,2241.865,2216.627,2304.593,2396.33,2493.963
Greece,5948.338,5422.719,5623.949,5050.617,4895.538,4832.513,5670.998,6577.906,7632.671,7879.246,9679.36,10282.907,11234.206,10451.791,11122.921,12997.524,13776.698,13484.135,13526.691,13901.672,12268.253,12579.412,14185.463,18534.613,22015.2,22608.39,24858.594,28900.031,32173.506,29829.303,26743.4,25437.01,21845.045,21712.016,21554.224,18023.869,17906.08,18552.181,19750.743,19140.988,17611.953,20135.275,20960.097,23173.056,24512.895,25516.793,26442.909,27152.765,27873.83
Grenada,1245.62,1276.37,1346.874,1372.669,1477.916,1678.085,1872.462,2162.546,2408.732,2757.871,2887.011,3117.904,3192.22,3153.808,3272.547,3411.983,3632.676,3861.381,4370.62,4705.807,5056.978,5041.015,5213.797,5682.707,5741.653,6644.217,6658.218,7213.002,7832.366,7290.821,7258.182,7291.739,7444.082,7789.618,8370.031,9096.535,9628.26,10152.834,10466.805,10834.496,9273.2,9926.493,10694.769,11436.942,12107.905,12727.3,13367.232,13973.568,14607.407
Guatemala,1070.284,1140.215,1126.186,1139.957,1163.059,1338.718,705.755,796.957,841.769,946.757,813.346,967.343,1044.285,1111.333,1227.018,1349.852,1408.114,1559.741,1658.175,1529.954,1555.567,1654.953,1795.772,1847.291,1951.798,2151.742,2336.955,2556.76,2873.086,2654.1,2836.06,3172.124,3267.792,3397.625,3632.101,3825.882,3982.02,4234.379,4251.613,4388.497,4337.784,4708.382,5097.593,5407.238,5747.711,6047.541,6361.75,6698.866,7059.762
Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,616.321,660.444,678.626,639.332,626.432,655.749,656.708,628.192,591.511,557.831,461.784,427.879,444.663,517.03,534.339,470.57,426.419,628.711,675.387,637.478,630.549,607.035,645.096,713.128,728.729,712.025,679.964,796.038,891.887,986.528,1008.688,1106.49,1383.633,1542.757,1642.991,1729.495,1811.055,1897.614,1987.196
Guinea-Bissau,370.185,463.692,516.549,570.682,388.702,559.368,534.912,444.504,406.033,478.384,571.817,787.213,843.597,636.881,344.118,725.815,676.103,628.438,517.661,496.411,327.943,338.362,374.5,435.072,447.804,482.181,467.998,543.408,672.251,613.569,644.344,775.206,688.497,711.927,712.826,707.897,748.089,864.141,894.667,836.954,838.847,930.098,905.854,1028.223,1103.076,1171.25,1241.907,1308.639,1372.76
Guyana,1101.855,1055.839,904.864,921.541,861.055,924.305,1053.703,982.258,1125.871,1146.242,950.968,1036.884,1145.783,1392.984,1626.898,1832.399,2048.527,2161.647,2035.856,2010.769,2017.2,2023.617,2092.961,2144.109,2232.996,2305.907,2551.768,2982.217,3329.637,3457.367,3837.303,4402.775,5360.276,5476.744,5402.703,5579.974,5796.819,6104.158,6120.536,6594.375,6952.702,9707,18353.123,20564.643,25512.998,29452.915,34813.602,35896.395,37106.319
Haiti,447.907,484.33,494.856,521.763,567.915,619.461,676.077,327.179,212.61,192.614,240.23,211.528,124.533,147.025,397.214,618.383,626.299,706.797,773.837,847.945,794.059,720.822,684.333,540.556,660.218,773.35,794.79,991.684,1074.359,1168.747,1175.199,1269.346,1316.496,1408.807,1408.669,1359.209,1263.434,1337.16,1441.864,1277.213,1235.476,1765.242,1702.001,2125.315,2263.489,2389.416,2517.058,2636.178,2756.598
Honduras,1080.431,1066.902,1091.787,1111.123,1183.298,1232.425,1287.141,1362.483,1469.405,1635.7,993.487,911.761,942.61,919.585,836.608,948.437,888.005,948.716,1023.397,1003.065,1093.106,1133.185,1134.068,1158.179,1217.816,1308.089,1430.056,1583.048,1739.357,1789.707,1904.346,2088.311,2144.337,2102.595,2206.056,2302.204,2342.024,2451.936,2506.62,2568.062,2380.029,2796.449,3062.199,3245.018,3366.283,3484.62,3622.488,3769.577,3921.422
Hong Kong SAR,5703.963,5995.182,6139.013,5590.161,6170.503,6490.372,7380.118,9015.195,10527.458,12012.634,13374.312,15297.577,17710.506,20065.68,22194.005,23070.541,24698.956,27214.595,25649.085,24969.005,25574.491,25166.902,24731.081,23856.482,24873.898,26551.769,28028.157,30494.551,31487.94,30593.991,32421.361,34955.147,36623.745,38233.352,40185.303,42325.352,43488.204,46025.665,48310.038,48277.982,46446.056,49842.466,48154.404,51168.046,54078.372,56563.98,59101.729,61664.333,64231.675
Hungary,2151.468,2207.127,2249.984,2046.399,1989.904,2022.961,2338.799,2582.848,2838.561,2909.703,3312.337,3350.243,3733.447,3871.071,4170.572,4491.216,4520.761,4591.492,4738.016,4786.245,4619.293,5269.607,6644.61,8409.098,10291.667,11211.246,11483.141,13926.753,15761.631,13066.422,13199.056,14214.126,12969.621,13693.038,14279.016,12700.301,13083.4,14606.266,16421.113,16782.01,16093.626,18731.858,18579.077,21075.621,23008.493,24760.243,26511.267,28146.594,29875.321
Iceland,15129.182,15449.046,14003.083,11857.373,12130.436,12506.275,16571.593,22776.756,24820.302,22627.388,25629.431,27159.576,27357.171,23725.669,24117.987,26682.487,27713.605,28048.848,31219.801,32577.642,32344.364,29061.339,32516.441,39620.411,47579.937,57405.559,58238.886,70375.326,57296.251,41188.906,43293.021,47798.807,46159.8,50100.084,54864.159,53227.627,62530.419,73085.132,75364.793,69137.161,59224.829,69404.808,74590.512,78836.851,87865.325,95084.285,101431.668,108055.756,115324.59
India,271.858,275.696,279.135,297.722,282.55,304.544,316.779,347.854,359.403,353.555,375.216,309.179,323.128,306.788,352.298,380.181,406.589,422.203,419.77,448.695,449.787,457.8,477.068,553.382,635.054,722.492,809.568,1041.194,1014.387,1115.829,1377.109,1449.604,1434.018,1438.057,1559.864,1590.174,1714.28,1957.97,1974.378,2050.163,1913.22,2238.127,2391.866,2612.454,2847.558,3101.764,3374.802,3668.201,3985.049
Indonesia,673.239,736.992,741.946,659.474,672.201,658.217,610.234,562.902,621.934,696.874,770.757,847.573,907.767,1013.057,1115.613,1254.023,1394.497,1308.114,572.09,829.574,870.154,834.139,1002.907,1186.845,1280.696,1403.876,1764.79,2064.232,2418.043,2464.956,3178.133,3688.531,3744.53,3684,3533.606,3367.691,3605.721,3885.465,3947.248,4194.086,3932.332,4362.677,4798.118,5108.944,5509.133,5914.675,6336.512,6787.166,7228.285
Iran,2439.396,2485.685,2965.579,3560.281,3531.17,3793.905,4225.457,5467.98,6009.203,7133.821,10661.483,5445.574,890.842,1121.078,1368.369,1941.99,2631.462,3018.96,3314.906,4400.622,5776.857,5124.766,2020.838,2353.361,2764.807,3291.94,3863.502,5045.686,5890.712,6016.8,6983.777,8322.46,5548.306,5561.453,5910.083,5172.134,5730.831,6005.051,4066.246,2908.918,2326.664,3409.826,4043.405,4233.986,4418.351,4544.143,4671.436,4814.14,4996.57
Iraq,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,608.655,1373.738,1828.738,2321.258,3090.851,4472.118,3701.862,4473.71,5848.537,6692.576,7021.406,6704.313,5044.624,4639.496,5178.921,5959.102,5945.438,4520.087,5011.973,6181.343,5882.894,6104.35,6175.752,6227.981,6257.888,6297.618
Ireland,6251.855,5886.037,6077.801,5839.504,5591.496,5934.214,7992.7,9418.976,10364.701,10754.01,13644.023,13747.422,15331.031,14261.995,15454.484,19085.723,20780.222,22467.346,24201.139,26231.557,26184.69,28119.305,32481.584,40939.729,47388.8,50476.482,53738.836,60770.189,60989.842,51943.659,48620.625,52159.122,48918.729,51422.864,55651.915,62027.653,62556.626,69864.671,79184.608,80613.712,85786.688,101983.636,103311.007,112247.706,117979.495,123692.736,128311.884,132358.008,136521.267
Israel,6356.512,6687.246,7040.572,7688.749,7186.116,6562.369,7955.128,9349.086,11391.527,11394.325,13035.678,13924.043,15021.162,14708.299,16367.635,18927.89,20153.193,20410.422,20119.211,19766.941,21641.299,20918.337,19044.915,19634.852,20565.767,21233.796,22501.119,25647.697,30182.526,28330.228,31278.046,34366.858,32928.736,36589.285,37856.528,35768.612,37197.25,40603.843,41834.032,43723.256,44320.723,51804.704,54336.836,53195.879,54058.941,55961.461,57842.247,59699.32,61607.904
Italy,8496.811,7693.059,7596.908,7878.146,7783.391,8034.389,11377.32,14280.593,15817.576,16439.473,20500.667,21636.193,22947.484,18437.044,19009.467,20675.341,23094.404,21858.43,22348.031,22029.683,20153.051,20505.923,22386.279,27580.477,31342.833,32031.426,33448.106,37828.34,40818.985,36982.806,35815.615,38276.034,34743.751,35534.99,35836.183,30463.696,31190.794,32648.756,34917.563,33628.161,31784.806,35717.376,34084.518,37146.233,38925.888,40437.245,41901.781,43159.107,44389.513
Jamaica,1214.379,1310.503,1479.509,1289.23,948,878.359,1034.771,1158.596,1372.734,1588.557,1971.695,1799.773,1804.411,2249.32,2234.803,2660.153,2975.134,3347.367,3467.544,3473.435,3510.575,3529.711,3709.572,3586.441,3855.674,4241.399,4494.63,4829.296,5134.246,4507.186,4894.369,5332.52,5448.456,5238.147,5105.511,5204.825,5183.462,5413.03,5729.757,5781.785,5072.599,5354.83,6197.798,6830.87,7310.19,7644.159,7920.156,8190.828,8472.252
Japan,9659,10574.371,9772.809,10636.463,11205.352,11815.804,17466.671,21177.787,25575.098,25336.199,25895.956,29511.775,32069.069,36425.222,39953.203,44210.234,39164.322,35651.27,32436.929,36622.892,39172.971,34410.68,32832.296,35410.229,38307.103,37819.107,36021.9,35847.232,39992.06,41469.773,45135.796,48760.915,49175.035,40934.756,38522.771,35005.662,39411.424,38903.298,39850.331,40547.967,40132.964,39933.008,33853.804,33949.714,34554.922,36657.457,38357.861,39899.391,42467.477
Jordan,1653.682,1791.619,1838.64,1854.028,1796.871,1735.414,2137.293,2169.214,1954.276,1258.87,1174.149,1162.754,1358.364,1336.326,1433.166,1472.951,1490.495,1524.003,1651.099,1672.246,1703.235,1776.461,1875.33,1946.117,2109.381,2277.942,2636.265,2870.639,3454.309,3559.692,3736.645,3852.891,3915.87,4050.139,4137.283,4169.988,4181.255,4257.908,4358.324,4411.72,4277.259,4399.645,4613.062,4850.663,5101.946,5376.491,5656.979,5943.186,6139.45
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,168.645,304.849,751.98,1061.475,1358.804,1459.416,1480.091,1132.126,1230.49,1491.652,1657.157,2062.291,2862.5,3753.439,5261.026,6733.448,8349.288,7116.372,9005.041,11552.573,12300.185,13789.174,12713.563,10435.169,7662.006,9186.712,9749.07,9750.431,9062.958,10106.663,11409.464,12968.427,14395.61,15145.941,15613.922,16158.69,16844.557
Kenya,855.471,776.778,721.655,644.505,646.568,622.803,716.685,758.168,759.5,728.334,737.217,674.688,644.604,434.817,505.909,623.714,686.847,677.772,742.089,647.889,617.147,617.055,611.901,668.483,692.718,778.333,854.992,1028.239,1118.769,1123.268,1176.311,1178.599,1396.22,1490.422,1613.101,1625.176,1688.852,1805.398,1987.302,2107.735,2067.987,2208.691,2245.284,2187.648,2194.248,2293.984,2398.006,2501.095,2611.886
Kiribati,710.42,734.209,670.98,620.845,667.442,499.974,479.459,529.522,649.788,627.533,594.271,642.924,643.903,621.703,715.435,720.549,847.867,840.499,806.333,833.736,803.324,734.58,827.798,1020.831,1132.962,1214.941,1168.998,1377.365,1456.192,1331.192,1512.468,1726.239,1783.594,1715.889,1628.35,1537.93,1587.423,1649.251,1696.206,1492.126,1492.096,1877.594,1821.553,1968.028,2052.105,2115.151,2170.773,2227.398,2283.546
"Korea, Republic of",1714.62,1883.456,1992.29,2198.939,2413.291,2482.4,2834.888,3554.62,4748.676,5817.065,6609.985,7637.199,8126.451,8886.386,10381.18,12565.033,13402.925,12416.754,8271.412,10666.862,12263.471,11563.04,13159.675,14672.418,16482.75,19398.494,21730.952,24083.338,21387.709,19139.732,23077.161,25100.188,25459.168,27179.519,29252.933,28737.439,29274.232,31600.735,33447.155,31902.415,31728.306,35142.265,32418.338,33147.226,34653.137,36407.489,38077.231,39776.205,41505.377
Kosovo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1506.094,1704.288,1807.197,2205.535,2274.678,2318.3,2400.14,2865.639,3025.013,2878.492,3013.162,3562.033,3396.893,3699.477,3920.467,3554.1,3745.863,3991.249,4389.631,4432.996,4297.829,5324.305,5332.367,5912.079,6336.637,6740.14,7125.646,7500.404,7850.636
Kuwait,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14556.85,13583.236,13879.046,15039.415,13740.332,11423.286,13359.806,17009.468,15116.579,15756.242,18796.658,21585.518,27012.212,31903.746,33711.963,42823.645,30414.905,32216.413,41657.542,45522.558,43927.638,39759.385,27035.985,24800.544,26816.642,29905.292,28513.124,22682.901,28834.433,36092.393,32215.034,33031.651,33376.568,33382.421,33460.763,33602.196
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,207.976,148.155,245.851,329.934,396.495,379.056,344.404,258.467,280.635,309.913,323.343,382.888,436.496,478.77,546.621,725.487,971.678,876.933,884.846,1131.471,1189.517,1295.225,1292.621,1132.843,1131.841,1254.51,1321.954,1466.956,1270.961,1390.9,1717.714,1829.586,1930.182,2033.145,2122.916,2199.102,2261.033
Lao P.D.R.,584.594,335.22,327.897,584.805,815.211,997.615,678.461,464.657,294.242,353.313,406.199,464.923,517.905,567.21,641.635,727.106,739.317,682.509,254.24,264.926,316.667,318.271,328.928,397.312,459.603,525.985,661.572,787.382,969.073,1032.328,1187.022,1397.003,1566.197,1813.802,1982.523,2124.256,2307.937,2437.127,2551.83,2602.623,2528.997,2495.962,2046.856,1878.708,1833.936,1908.868,2005.252,2107.103,2217.66
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,632.992,1022.375,1725.207,2163.747,2419.562,2670.492,2961.556,3140.581,3343.184,3553.667,4120.691,5121.736,6342.835,7569.831,9690.458,14079.584,16435.21,12243.072,11316.932,13371.012,13786.588,14927.223,15685.979,13728.365,14259.249,15626.275,17806.561,17889.752,18106.332,21014.99,21946.922,24929.18,26952.128,29010.47,30876.693,32643.675,34486.137
Lebanon,1552.837,1481.175,1005.587,1377.269,1618.263,1344.575,1044.67,1219.75,1217.822,983.644,999.179,1503.376,1778.897,2290.378,2641.04,3109.262,3551.799,4246.445,4618.673,4582.361,4428.662,4349.954,4504.149,4440.345,4630.727,4575.074,4626.82,5207.76,6111.36,7354.971,7761.616,7675.291,7948.646,7928.317,7681.707,7642.96,7617.732,7776.012,8003.824,7421.491,3588.705,3044.801,3283.414,no data,no data,no data,no data,no data,no data
Lesotho,334.43,330.808,268.415,289.889,265.387,207.228,232.527,290.681,323.516,329.019,391.983,452.08,505.038,494.606,512.036,549.606,524.624,551.041,508.557,501.75,493.333,414.027,457.662,670.897,852.696,922.416,916.563,930.798,868.532,1011.42,1222.197,1324.607,1261.443,1191.994,1250.627,1104.543,1099.146,1199.628,1221.168,1159.368,1034.702,1219.043,1166.197,1110.179,1166.672,1211.977,1247.915,1274.731,1301.506
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,303.143,305.909,311.768,231.891,286.104,293.471,333.151,388.154,464.437,470.218,505.363,582.614,646.662,716.576,708.816,691.369,709.824,706.239,677.356,623.887,600.475,677.387,749.187,800.213,825.983,864.385,915.838,964.148,1018.452
Libya,13449.648,11107.625,10575.644,9671.452,8681.163,8586.407,6733.969,6002.067,5981.627,6070.096,7424.17,8026.293,7950.512,6998.262,6391.134,7102.861,7608.817,7663.003,6171.767,7294.482,7625.01,6693.083,3956.483,4986.326,6180.388,8739.202,10561.373,11801.274,14762.577,10202.806,12478.016,8132.317,14728.067,12025.599,9166.555,7706.743,7817.63,10413.81,11773.943,10532.114,7062.559,5249.501,5577.013,5872.222,6357.357,6638.707,6774.276,6775.583,6808.797
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1845.103,2327.496,2830.268,3166.72,3113.271,3293.307,3525.849,4140.734,5499.475,6699.372,7860.178,9236.616,12305.917,15017.555,11848.202,12009.033,14393.268,14376.001,15734.38,16577.333,14265.409,15004.172,16879.449,19195.06,19600.564,20347.624,23728.3,24988.686,28481.993,31118.51,33547.985,35826.814,37696.087,39617.695
Luxembourg,17666.745,15190.085,12464.023,12234.668,11984.274,12393.783,17950.002,22149.518,24875.488,26226.903,33066.888,35346.49,39061.02,39483.057,43306.887,50705.085,49718.865,44202.559,45636.553,49341.225,48984.173,48719.314,53227.765,66160.728,77030.373,81728.092,91478.339,108344.137,121616.145,110249.419,112049.15,120526.518,113953.737,121422.921,125200.137,106710.47,107948.199,111211.77,117993.371,113860.533,117616.151,134925.164,126598.103,135605.438,140307.606,144960.312,148829.206,151657.777,154419.811
Macao SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15723.751,16733.977,18461.835,23005.586,25109.973,28970.428,34268.703,38286.226,39822.349,51135.159,66111.715,74209.139,84833.692,86298.091,69647.776,69887.828,77233.097,82835.778,81231.549,37270.798,44091.804,31539.494,54295.661,70130.301,82126.172,88195.833,92431.58,96880.739
Madagascar,599.371,534.073,522.936,498.801,404.876,383.873,427.478,307.636,297.42,288.402,347.714,280.355,311.649,331.998,279.38,295.539,368.663,309.351,310.104,292.558,307.335,350.5,334.838,387.055,298.635,335.388,355.397,459.855,561.654,488.901,492.67,553.45,538.541,560.939,548.905,481.807,489.439,528.379,535.948,531.75,477.375,516.529,523.084,529.56,548.115,582.894,611.443,642.736,685.073
Malawi,460.392,447.79,416.18,419.657,400.328,358.713,354.471,327.758,354.718,384.328,420.593,523.591,422.469,483.263,278.145,319.894,512.064,583.417,373.078,368.272,352.65,338.478,384.137,345.163,365.696,377.042,400.898,432.115,504.65,571.113,623.414,695.331,506.3,446.999,484.322,497.737,415.016,466.559,501.113,543.685,567.59,580.967,567.454,579.701,471.926,470.027,476.519,489.393,503.116
Malaysia,1926.963,1920.127,2006.482,2189.553,2419.501,2154.458,1864.031,2070.009,2213.866,2380.512,2586.278,2885.568,3378.909,3716.921,4029.272,4671.084,5175.901,5012.378,3521.119,3762.769,4347.73,4189.053,4441.824,4740.324,5244.873,5678.332,6351.127,7480.893,8766.175,7543.882,9046.978,10397.902,10806.823,10851.657,11165.249,9663.122,9523.316,9965.123,11079.617,11228.293,10400.219,11475.701,12465.612,13034.067,13913.199,14837.322,15690.915,16417.404,17256.633
Maldives,412.508,464.914,534.906,560.243,646.388,737.78,835.636,769.824,897.934,987.814,1091.55,1184.664,1343.012,1479.446,1591.14,1903.127,2107.605,2553.949,2658.803,2842.658,2967.253,2780.451,2952.215,3690.792,4238.041,3960.43,5268.793,6128.48,7337.951,7450.805,8086.697,8078.305,8719.582,9766.235,10787.471,11781.029,12348.712,13200.955,14479.839,15060.822,9892.116,14029.908,15962.494,17558.747,18567.542,19872.048,21111.077,22342.648,23556.413
Mali,275.479,220.336,190.681,180.346,176.396,174.171,237.685,272.304,268.77,322.213,360.285,359.96,362.204,353.655,265.119,336.392,337.183,309.659,313.318,315.484,263.615,299.414,326.736,381.853,427.523,474.257,506.939,579.325,678.346,681.803,688.89,810.04,753.869,778.808,818.665,723.581,749.846,795.387,856.745,840.211,831.034,902.677,847.461,912.643,957.413,989.589,1019.454,1043.572,1068.155
